Country,Country BM,Country BS,Country BR,Rank,Average,BM,BS,BR,Math,Science,Reading,BM Sets Clear Goals,BM Encourages Thinking,BM Summarizes Lessons,BM Reflect Problems,BM Wait Until its Quiet,BM HW Not Back in Time,BM Express Opinions,BM Teachers Are Interested,BS Sets Clear Goals,BS Encourages Thinking,BS Summarizes Lessons,BS Reflect Problems,BS Wait Until its Quiet,BS HW Not Back in Time,BS Express Opinions,BS Teachers Are Interested,BR Sets Clear Goals,BR Encourages Thinking,BR Summarizes Lessons,BR Reflect Problems,BR Wait Until its Quiet,BR HW Not Back in Time,BR Express Opinions,BR Teachers Are Interested
China-Shanghai,China-Shanghai,China-Shanghai,China-Shanghai,1,586,611,579,568,611,579,568,79.3,75.32,76.37,72.21,37.82,38.74,81.21,81.17,79.3,75.32,76.37,72.21,37.82,38.74,81.21,81.17,79.3,75.32,76.37,72.21,37.82,38.74,81.21,81.17
China-Hong Kong,Singapore,China-Hong Kong,China-Hong Kong,2,554,569,556,545,562,556,545,73.55,67.58,63.44,67.65,48.59,37.72,78.26,79.47,62.13,60.07,59.93,62.23,43.13,40.14,76.47,72.86,62.13,60.07,59.93,62.23,43.13,40.14,76.47,72.86
Singapore,China-Hong Kong,Japan,Singapore,3,551,562,548,538,569,547,538,62.13,60.07,59.93,62.23,43.13,40.14,76.47,72.86,65.24,60.96,59.01,58.94,35.42,40.41,69.61,65.22,73.55,67.58,63.44,67.65,48.59,37.72,78.26,79.47
South Korea,Taiwan,Singapore,Japan,4,543,558,547,538,555,538,537,69.72,63.73,62.48,63.6,50.44,46.81,80.37,76.53,73.55,67.58,63.44,67.65,48.59,37.72,78.26,79.47,65.24,60.96,59.01,58.94,35.42,40.41,69.61,65.22
Japan,South Korea,Estonia,South Korea,5,541,555,544,537,537,548,538,67.17,51.96,62.51,54.48,45.32,55.62,68.97,70.18,74.44,55.22,51.44,67.21,46.47,39.74,73.59,73.04,67.17,51.96,62.51,54.48,45.32,55.62,68.97,70.18
Taiwan,China-Macao,South Korea,Ireland,6,534,539,538,524,558,523,522,70.73,61.61,67.75,60.55,45.13,38.48,76.26,74.44,67.17,51.96,62.51,54.48,45.32,55.62,68.97,70.18,66.86,66.1,50.99,74,47.89,45.52,71.66,75.81
Liechtenstein,Liechtenstein,Poland,Taiwan,7,528,538,529,522,538,526,519,76.99,78.18,58.07,68.39,47.46,47.99,71.17,74.47,72.59,59.17,49.71,73.59,49.04,51.2,69.88,63.82,69.72,63.73,62.48,63.6,50.44,46.81,80.37,76.53
Estonia,Japan,Vietnam,Poland,8,528,537,529,522,522,544,518,65.24,60.96,59.01,58.94,35.42,40.41,69.61,65.22,86,61.18,72.49,70.17,42.67,40.78,87.27,73.1,72.59,59.17,49.71,73.59,49.04,51.2,69.88,63.82
Poland,Estonia,Czech Republic,Liechtenstein,9,524,522,528,519,521,529,522,74.44,55.22,51.44,67.21,46.47,39.74,73.59,73.04,73.79,68.08,65.62,73.56,50.05,49.02,72.89,69.07,76.99,78.18,58.07,68.39,47.46,47.99,71.17,74.47
China-Macao,Poland,Finland,Estonia,10,523,521,528,518,539,521,510,72.59,59.17,49.71,73.59,49.04,51.2,69.88,63.82,70.29,69.38,60.96,67.01,56.94,45.85,73.4,71.16,74.44,55.22,51.44,67.21,46.47,39.74,73.59,73.04
