Country,Continent,GDP,Age,Female,Male,School,PV1MATH,PV1READ,PV1SCIE,ST83Q04,ST83Q03,ST82Q01,ST82Q02,ST82Q03,ST83Q01,ST84Q01,ST84Q03,ST79Q06,ST79Q02,ST80Q01,ST81Q03,ST86Q02,ST79Q01,ST79Q08
Albania,Europe,4257,15.9,2416,2327,204,395.2961849,396.424292,399.0680702,87.144727,88.70877061,63.66400608,53.16981132,69.71552374,91.04949758,63.59516616,49.42496229,90.2486911,80.55868017,78.11912815,43.15700301,83.26756858,87.18021068,80.05785741
Argentina,South America,14791,15.7,3113,2795,226,395.4022408,403.5112273,410.3692777,78.16438724,83.51035225,82.27977162,76.31902679,49.45860746,79.79433761,64.16165208,52.80225833,84.64540884,64.02326196,70.91485986,60.78961601,74.87234614,77.81736606,64.93902439
Australia,Oceania,67512,15.8,7075,7406,775,492.8428548,500.8453028,511.2505994,73.91585064,81.83064516,76.46708532,73.29582341,48.55029265,79.29507141,55.44878735,39.43620017,75.83243824,65.29998927,68.80967707,54.5222759,76.4578197,71.72131148,58.46418585
Austria,Europe,48349,15.9,2357,2398,191,507.7117526,490.9180206,507.2130821,67.37055016,63.76331934,78.75976563,67.94289422,44.16393443,72.88709677,50.26075619,40.91576885,70.53456072,67.73697832,62.91182171,49.07018111,71.65271967,69.42469295,56.78663654
Belgium,Europe,44819,15.9,4287,4310,287,519.8689022,512.3190082,510.4750785,70.87957825,70.05458919,76.07521877,74.6370067,42.98008932,75.78903654,53.93609093,42.93164463,72.51701306,60.89213524,66.22879794,51.20232172,71.57287823,68.66966581,58.37014541
Brazil,South America,12148,15.9,10175,9029,839,382.5007927,400.453951,395.3218775,80.07598406,83.28615436,85.07419382,74.42310896,48.52278418,83.72179519,67.90639365,50.19693288,80.58906147,69.39448936,72.49958807,56.17788661,77.78611945,80.88235294,64.16844964
Bulgaria,Europe,7199,15.9,2578,2704,188,442.1583614,442.4524084,450.912065,81.09337709,80.3086788,77.86799762,71.44467829,57.51953125,83.54580492,65.85237523,54.62654974,83.78598991,69.55327991,81.30723781,52.00179265,76.0056615,81.05971032,75.57087782
Canada,America,52734,15.9,10943,10601,885,509.3289822,511.235906,514.7129286,75.46725613,83.26633166,78.18217979,70.76237552,45.24212726,80.63114813,55.2488982,38.58483755,78.68226778,67.72376046,72.04079438,50.34841954,77.35703523,75.02325748,67.24983884
Chile,South America,15187,15.8,3512,3344,221,444.4196443,459.9995723,464.572824,77.7301092,83.57063404,79.79397781,76.78651434,50.80808081,78.9532294,57.33438486,42.95861298,83.3611482,63.91918967,71.81949378,57.92233876,79.110888,81.66222518,64.7265625
China-Hong Kong,Asia,36708,15.8,2161,2509,148,561.2740958,544.8977347,555.3677352,76.46033853,80.36662243,71.90610484,64.63941509,40.13616739,78.02854298,70.68822554,37.79031188,69.00662252,60.06127857,62.22682119,43.12230693,72.85856574,62.12346905,59.92050348
